[2025-12-22 10:44:20,459: INFO: main: welcome to the project ]
[2025-12-23 12:03:15,142: INFO: common: safely opened yaml: config\config.yaml]
[2025-12-23 12:03:15,142: INFO: common: safely opened yaml: config\params.yaml]
[2025-12-23 12:03:15,190: INFO: common: safely opened yaml: config\schema.yaml]
[2025-12-23 12:03:41,304: INFO: common: safely opened yaml: config\config.yaml]
[2025-12-23 12:03:41,311: INFO: common: safely opened yaml: config\params.yaml]
[2025-12-23 12:03:41,317: INFO: common: safely opened yaml: config\schema.yaml]
[2025-12-23 12:05:54,446: INFO: common: safely opened yaml: config\config.yaml]
[2025-12-23 12:05:54,452: INFO: common: safely opened yaml: config\params.yaml]
[2025-12-23 12:05:54,457: INFO: common: safely opened yaml: config\schema.yaml]
[2025-12-23 12:05:54,463: INFO: common: created directory at: artifacts]
[2025-12-23 12:05:54,467: INFO: common: created directory at: artifacts/data_ingest]
[2025-12-23 12:08:31,783: INFO: common: safely opened yaml: config\config.yaml]
[2025-12-23 12:08:31,788: INFO: common: safely opened yaml: config\params.yaml]
[2025-12-23 12:08:31,793: INFO: common: safely opened yaml: config\schema.yaml]
[2025-12-23 12:08:31,801: INFO: common: created directory at: artifacts]
[2025-12-23 12:08:31,806: INFO: common: created directory at: artifacts/data_ingest]
[2025-12-23 12:08:55,336: INFO: common: safely opened yaml: config\config.yaml]
[2025-12-23 12:08:55,342: INFO: common: safely opened yaml: config\params.yaml]
[2025-12-23 12:08:55,347: INFO: common: safely opened yaml: config\schema.yaml]
[2025-12-23 12:08:55,352: INFO: common: created directory at: artifacts]
[2025-12-23 12:08:55,356: INFO: common: created directory at: artifacts/data_ingest]
[2025-12-23 12:08:55,360: INFO: 601047097: file already exists]
[2025-12-23 12:15:56,278: INFO: common: safely opened yaml: config\config.yaml]
[2025-12-23 12:15:56,285: INFO: common: safely opened yaml: config\params.yaml]
[2025-12-23 12:15:56,292: INFO: common: safely opened yaml: config\schema.yaml]
[2025-12-23 12:15:56,297: INFO: common: created directory at: artifacts]
[2025-12-23 12:15:56,303: INFO: common: created directory at: artifacts/data_ingest]
[2025-12-23 12:15:56,307: INFO: 601047097: file already exists]
[2025-12-23 16:35:20,678: INFO: main: welcome to the project ]
[2025-12-23 16:36:31,574: INFO: main: >>>> Data Ingestion Stage started <<<<]
[2025-12-23 16:36:31,589: INFO: common: safely opened yaml: config\config.yaml]
[2025-12-23 16:36:31,589: INFO: common: safely opened yaml: config\params.yaml]
[2025-12-23 16:36:31,589: INFO: common: safely opened yaml: config\schema.yaml]
[2025-12-23 16:36:31,589: INFO: common: created directory at: artifacts]
[2025-12-23 16:36:31,589: INFO: common: created directory at: artifacts/data_ingest]
[2025-12-23 16:36:31,602: INFO: data_ingestion: file already exists]
[2025-12-23 16:36:31,602: INFO: main: >>>>> Data Ingestion Stage Completed]
[2025-12-24 11:54:12,655: INFO: common: safely opened yaml: config\config.yaml]
[2025-12-24 11:54:12,665: INFO: common: safely opened yaml: config\params.yaml]
[2025-12-24 11:54:12,716: INFO: common: safely opened yaml: config\schema.yaml]
[2025-12-24 11:54:12,720: INFO: common: created directory at: artifacts]
[2025-12-24 11:56:45,155: INFO: common: safely opened yaml: config\config.yaml]
[2025-12-24 11:56:45,162: INFO: common: safely opened yaml: config\params.yaml]
[2025-12-24 11:56:45,177: INFO: common: safely opened yaml: config\schema.yaml]
[2025-12-24 11:56:45,181: INFO: common: created directory at: artifacts]
[2025-12-24 12:01:05,486: INFO: common: safely opened yaml: config\config.yaml]
[2025-12-24 12:01:05,492: INFO: common: safely opened yaml: config\params.yaml]
[2025-12-24 12:01:05,506: INFO: common: safely opened yaml: config\schema.yaml]
[2025-12-24 12:01:05,510: INFO: common: created directory at: artifacts]
[2025-12-24 12:01:05,514: INFO: common: created directory at: artifacts/data_validate]
[2025-12-24 12:44:19,016: INFO: main: >>>> Data Ingestion Stage started <<<<]
[2025-12-24 12:44:19,031: INFO: common: safely opened yaml: config\config.yaml]
[2025-12-24 12:44:19,056: INFO: common: safely opened yaml: config\params.yaml]
[2025-12-24 12:44:19,094: INFO: common: safely opened yaml: config\schema.yaml]
[2025-12-24 12:44:19,094: INFO: common: created directory at: artifacts]
[2025-12-24 12:44:19,118: INFO: common: created directory at: artifacts/data_ingest]
[2025-12-24 12:44:19,136: INFO: data_ingestion: file already exists]
[2025-12-24 12:44:19,146: INFO: main: >>>>> Data Ingestion Stage Completed]
